Text,gold_ner,gold_re,wx_ner,gpt_re
」遂奉之。畿谓固、先曰：「衞、范，河东之望也，吾仰成而已。仰，牛向翻。然君臣有定义，成败同之，大事当共平议。」以固为都督，行丞事，领功曹；旣以为都督，又令行郡丞事，又领功曹也。,"{'人物': ['畿', '固', '先', '固'], '团体': ['衞', '范'], '地点': ['河东'], '职官': ['都督']}","{'任职': [['固', '都督']], '封': [['畿', '固']]}","{'人物': ['畿', '固', '先', '范'], '地点': ['河东', '衞'], '职官': ['都督', '行丞事', '功曹', '行郡丞事']}","{'任职': [['固', '都督'], ['固', '行丞事'], ['固', '功曹'], ['固', '行郡丞事'], ['固', '功曹'], ['固', '都督']], '封': [['畿', '固']], '交谈': [['畿', '固']], '其他': [['河东', '范']]}"
3秋，九月，吴主以骠骑将军步骘为丞相，骠，匹妙翻。车骑将军朱然为左大司马，衞将军全琮为右大司马。分荆州为二部：以鎭南将军吕岱为上大将军，督右部，自武昌以西至蒲圻；水经注：陆水出长沙下隽县，西迳蒲圻县北，又迳蒲𡼠山北入大江，谓之陆口。,"{'时间': ['秋', '九月'], '人物': ['吴主', '步骘', '朱然', '全琮', '吕岱'], '职官': ['骠骑将军', '丞相', '车骑将军', '左大司马', '衞将军', '右大司马', '鎭南将军', '上大将军'], '地点': ['荆州', '武昌', '蒲圻', '陆水', '长沙', '下隽县', '蒲圻县', '蒲𡼠山', '大江', '陆口'], '书籍': ['水经注']}","{'任职': [['全琮', '衞将军'], ['朱然', '车骑将军'], ['步骘', '丞相'], ['步骘', '骠骑将军'], ['朱然', '左大司马'], ['全琮', '右大司马'], ['吕岱', '鎭南将军'], ['吕岱', '上大将军']], '封': [['吴主', '吕岱'], ['吴主', '全琮'], ['吴主', '朱然'], ['吴主', '步骘']], '管理': [['吕岱', '武昌'], ['吕岱', '蒲圻']]}","{'人物': ['全琮', '朱然', '吴主', '步骘', '吕岱'], '地点': ['陆水', '陆口', '蒲圻', '武昌', '大江', '蒲圻县', '荆州', '下隽县', '长沙'], '时间': ['秋', '九月'], '职官': ['右大司马', '左大司马', '上大将军', '丞相', '鎭南将军', '衞将军', '骠骑将军', '车骑将军'], '书籍': ['水经注']}","{'任职': [['步骘', '丞相'], ['朱然', '左大司马'], ['吕岱', '上大将军'], ['朱然', '车骑将军'], ['步骘', '骠骑将军'], ['吕岱', '鎭南将军'], ['全琮', '右大司马'], ['全琮', '衞将军']], '封': [['吴主', '吕岱'], ['吴主', '吕岱'], ['吴主', '朱然'], ['吴主', '全琮']], '属地': [['下隽县', '长沙']]}"
帅，所类翻。备以诸葛亮为军师中郞将，军师，亦古将军号。,"{'人物': ['备', '诸葛亮'], '职官': ['中郞将']}","{'封': [['备', '诸葛亮']], '任职': [['诸葛亮', '中郞将']]}","{'人物': ['备', '诸葛亮'], '职官': ['军师中郞将', '军师']}","{'封': [['备', '诸葛亮']], '任职': [['诸葛亮', '军师中郞将']]}"
魏封孔子二十一世孙羨为宗圣侯，邑百户。晋封二十三世孙震为奉圣亭侯。,"{'团体': ['魏', '晋'], '人物': ['孔子', '羨', '震'], '职官': ['宗圣侯', '奉圣亭侯']}","{'任职': [['羨', '宗圣侯'], ['震', '奉圣亭侯']], '封': [['晋', '震'], ['魏', '羨']], '祖孙': [['孔子', '羨'], ['孔子', '震']]}","{'人物': ['孔子', '羨', '震'], '团体': ['晋', '魏'], '职官': ['宗圣侯', '奉圣亭侯']}","{'任职': [['羨', '宗圣侯'], ['震', '奉圣亭侯']], '封': [['晋', '震']]}"
汉主以左将军吴懿为车骑将军，假节，督汉中，代魏延也。以丞相长史蒋琬为令，总统国事，寻加琬行都护，假节，领益州刺史。,"{'人物': ['汉主', '吴懿', '魏延', '蒋琬', '琬'], '职官': ['左将军', '车骑将军', '假节', '督汉中', '丞相长史', '令', '都护', '刺史'], '地点': ['益州']}","{'任职': [['吴懿', '车骑将军'], ['吴懿', '督汉中'], ['吴懿', '左将军'], ['吴懿', '假节'], ['蒋琬', '丞相长史'], ['蒋琬', '令'], ['琬', '都护'], ['琬', '刺史']], '封': [['汉主', '吴懿'], ['汉主', '蒋琬'], ['汉主', '琬']], '管理': [['琬', '益州']]}","{'人物': ['汉主', '魏延', '琬', '吴懿'], '职官': ['车骑将军', '左将军', '丞相长史', '都护', '刺史', '令', '总统国事'], '地点': ['益州', '汉中']}","{'任职': [['吴懿', '车骑将军'], ['蒋琬', '丞相长史'], ['吴懿', '左将军'], ['琬', '都护'], ['琬', '刺史'], ['蒋琬', '令'], ['蒋琬', '总统国事']], '管理': [['琬', '益州'], ['吴懿', '汉中']], '封': [['汉主', '琬'], ['汉主', '蒋琬'], ['汉主', '吴懿']]}"
鲁芝将出，呼参军辛敞欲与俱去。敞，毗之子也，其姊宪英为太常羊耽妻，敞与之谋曰：「天子在外，太傅闭城门，人云将不利国家，于事可得尔乎？」尔，犹云如此也。,"{'人物': ['鲁芝', '辛敞', '敞', '毗', '宪英', '羊耽', '敞'], '职官': ['参军', '太常']}","{'任职': [['羊耽', '太常'], ['辛敞', '参军']], '父': [['毗', '敞'], ['毗', '宪英']], '其他': [['宪英', '敞']], '夫妻': [['宪英', '羊耽']]}","{'人物': ['鲁芝', '参军辛敞', '辛敞', '羊耽', '敞', '宪英', '毗'], '职官': ['太常', '参军', '太傅']}","{'父': [['毗', '敞']], '任职': [['辛敞', '参军'], ['羊耽', '太常']]}"
大王宜上惟太伯顺父之志，周太王三子，长曰太伯，次曰仲雍，次曰季历。季历之子曰昌，有圣德，太王欲传国季历以及昌，太伯、仲雍遂逃之荆蛮，让国季历以成父之志。,"{'人物': ['太伯', '太王', '太伯', '仲雍', '季历', '季历', '昌', '太王', '季历', '昌', '太伯', '仲雍', '季历'], '团体': ['周'], '地点': ['荆蛮']}","{'到达': [['仲雍', '荆蛮'], ['太伯', '荆蛮']], '父': [['季历', '昌'], ['太王', '太伯'], ['太王', '仲雍'], ['太王', '季历']], '隶属于': [['太王', '周']], '政治奥援': [['太王', '季历'], ['太王', '昌']], '兄弟': [['太伯', '仲雍'], ['太伯', '季历'], ['仲雍', '季历']]}","{'人物': ['太伯', '仲雍', '季历', '昌', '大王'], '团体': ['周'], '地点': ['荆蛮']}","{'父': [['季历', '昌'], ['周太王', '仲雍'], ['周太王', '昌'], ['季历', '仲雍']]}"
曹操方与袁绍相拒，未暇救之。羨病死，长沙复立其子怿。,"{'人物': ['曹操', '袁绍', '羨', '怿'], '地点': ['长沙']}","{'父': [['羨', '怿']], '攻伐': [['曹操', '袁绍']], '政治奥援': [['长沙', '怿']]}","{'人物': ['曹操', '袁绍', '羨', '怿'], '地点': ['长沙']}","{'管理': [['曹操', '长沙']], '父': []}"
谭弟承及张休皆有功；全琮子端、緖与之争功，端、緖，琮之二子。,"{'人物': ['谭', '承', '张休', '全琮', '端', '緖', '端', '緖', '琮']}","{'父': [['全琮', '緖'], ['全琮', '端'], ['琮', '緖'], ['琮', '端']], '兄弟': [['谭', '承'], ['端', '緖'], ['端', '緖']]}","{'人物': ['谭', '承', '张休', '全琮', '端', '緖', '琮']}","{'兄弟': [['谭', '承']], '父': [['全琮', '端'], ['琮', '緖'], ['全琮', '緖'], ['全琮', '緖']]}"
河东裴潜亦为表所礼重，潜私谓王畅之子张：「子」作「孙。」粲及河内司马芝曰：「刘牧非霸王之才，王，于况翻。,"{'地点': ['河东', '河内'], '人物': ['裴潜', '表', '潜', '王畅', '粲', '司马芝', '刘牧']}","{'生于地点': [['司马芝', '河内'], ['裴潜', '河东']], '父': [['王畅', '粲']], '政治奥援': [['裴潜', '表']]}","{'人物': ['潜', '粲', '刘牧', '裴潜', '司马芝', '表', '王畅', '张'], '地点': ['河东', '河内']}","{'生于地点': [['裴潜', '河东'], ['司马芝', '河内']], '父': [['王畅', '张']], '其他': [['表', '裴潜']]}"
异，桓之子；据，范之子也。,"{'人物': ['异', '桓', '据', '范']}","{'父': [['范', '据'], ['桓', '异']]}","{'人物': ['据', '异', '桓', '范']}","{'父': [['范', '据']]}"
为，于伪翻。伏皇后由是怀惧，乃与父完书，言曹操残逼之状，贼人者谓之残。,"{'人物': ['伏皇后', '完', '曹操']}","{'父': [['完', '伏皇后']]}","{'人物': ['伏皇后', '完', '曹操'], '时间': [], '地点': [], '职官': [], '书籍': [], '团体': []}","{'任职': [], '到达': [], '属地': [], '攻伐': [], '管理': [], '位于': [], '派遣': [], '生于地点': [], '政治奥援': [], '封': [], '父': [], '交谈': [], '杀': [], '作者': [], '打败': [], '别名': [], '同僚': [], '地点别名': [], '兄弟': [], '旧属': [], '见面': [], '设置': [], '投靠': [], '祖孙': [], '隶属于': [], '合作': [], '离开': [], '请求': [], '游历': [], '归附': [], '救援': [], '治所': [], '修建': [], '死于时间': [], '母': [], '害怕': [], '夫妻': [], '旧臣': [['伏皇后', '完']], '死于地点': []}"
议者以为因此伐吴，必有所克。帝以问中书令太原孙资，沈约志：魏武帝为王，置祕书令，典尙书奏事。,"{'地点': ['吴', '太原'], '人物': ['帝', '孙资', '沈约', '魏武帝'], '职官': ['中书令', '祕书令'], '书籍': ['志']}","{'任职': [['孙资', '中书令']], '生于地点': [['孙资', '太原']], '交谈': [['帝', '孙资']], '作者': [['沈约', '志']], '设置': [['魏武帝', '祕书令']]}","{'人物': ['魏武帝', '孙资', '沈约', '帝'], '职官': ['中书令', '祕书令', '王'], '地点': ['太原', '吴'], '书籍': ['志']}","{'任职': [['孙资', '中书令'], ['魏武帝', '王']], '交谈': [['帝', '孙资']], '生于地点': [['孙资', '太原']], '作者': [['沈约', '志']]}"
操笑谓之曰：「尔欲观曹公邪？亦犹人也，非有四目两口，但多智耳！」旣罢，超等问遂，「公何言？」遂曰：「无所言也。,"{'人物': ['操', '曹公', '超', '遂', '遂']}","{'交谈': [['超', '遂']]}","{'人物': ['超', '操', '遂', '曹公']}","{'交谈': [['超', '遂']]}"
及鲁肃过寻阳，与蒙论议，大惊曰：「卿今者才略，非复吴下阿蒙！」蒙曰：「士别三日，卽更刮目相待，大兄何见事之晚乎！」肃遂拜蒙母，结友而别。,"{'人物': ['鲁肃', '蒙', '阿蒙', '蒙', '肃', '蒙'], '地点': ['寻阳', '吴']}","{'交谈': [['鲁肃', '蒙']], '游历': [['鲁肃', '寻阳']], '隶属于': [['阿蒙', '吴']]}","{'人物': [['肃', 1.0], ['蒙', 1.0], ['鲁肃', 1.0]], '地点': [['寻阳', 0.9999]], '时间': [['三日', 0.9959]]}","{'游历': [['鲁肃', '寻阳']], '其他': [['鲁肃', '蒙']]}"
曹操攻之，布救兰等，不胜而走，操遂斩兰等。操军乘氏，乘，绳证翻。以陶谦已死，欲遂取徐州，还乃定布。荀彧曰：「昔高祖保关中，光武据河内，高祖取天下，令萧何守关中；光武经营河北，令寇恂守河内：皆以为王业根本。,"{'人物': ['曹操', '布', '兰', '操', '兰', '操', '陶谦', '布', '荀彧', '高祖', '光武', '高祖', '萧何', '光武', '寇恂'], '地点': ['乘氏', '徐州', '关中', '河内', '关', '河北', '河内']}","{'管理': [['光武', '河北']], '位于': [['萧何', '关'], ['高祖', '关中'], ['寇恂', '河内'], ['光武', '河内'], ['操', '乘氏']], '救援': [['布', '兰']], '杀': [['操', '兰']]}","{'人物': ['操', '布', '高祖', '陶谦', '光武', '荀彧', '寇恂', '萧何', '兰'], '地点': ['关中', '河内', '徐州', '河北', '乘氏']}","{'位于': [['操', '乘氏'], ['寇恂', '河内'], ['萧何', '关中'], ['光武', '河北']], '救援': [['布', '兰']], '派遣': [['光武', '寇恂']], '攻伐': [['光武', '河内']]}"
操之北伐也，刘备说刘表袭许，说，输芮翻。,"{'人物': ['操', '刘备', '刘表'], '地点': ['许']}","{'交谈': [['刘备', '刘表']]}","{'人物': ['操', '刘备', '刘表'], '地点': ['许']}","{'交谈': [['刘备', '刘表']]}"
1春，正月，董承谋洩；壬子，曹操杀承及王服、种辑，皆夷三族。,"{'时间': ['春', '正月', '壬子'], '人物': ['董承', '曹操', '承', '王服', '种辑']}","{'杀': [['曹操', '王服'], ['曹操', '承'], ['曹操', '种辑']]}","{'人物': ['董承', '曹操', '王服', '种辑'], '时间': ['春', '正月', '壬子']}","{'杀': [['曹操', '董承'], ['曹操', '王服'], ['曹操', '种辑']]}"
然癸、辛之徒，纵心极欲，皇天震怒，宗国为墟，纣枭白旗，武王斩纣首，悬之太白之旗。,"{'人物': ['癸', '辛', '纣', '武王', '纣']}","{'杀': [['武王', '纣']]}","{'人物': ['武王', '纣', '癸', '辛'], '地点': ['太白']}","{'杀': [['武王', '纣']]}"
后知之，明日，谓帝曰：「昨日游宴北园，乐乎？」后园在洛城北隅。帝以左右泄之，所杀十馀人。庚辰，赐后死，然犹加諡曰悼。,"{'人物': ['后', '帝', '帝', '后'], '地点': ['洛城'], '时间': ['庚辰'], '职官': ['悼']}","{'任职': [['后', '悼']], '杀': [['帝', '后']]}","{'人物': ['帝', '后', '悼'], '地点': ['洛城', '北园', '后园'], '时间': ['庚辰', '明日']}","{'杀': [['帝', '后'], ['帝', '庚辰'], ['帝', '悼']], '死于时间': [['后', '庚辰']]}"
重，直用翻。操曰：「可矣。」乃皆上马。时骑不满六百，遂纵兵击，大破之，斩丑。,"{'人物': ['操', '丑']}","{'杀': [['操', '丑']]}","{'人物': ['丑', '操']}","{'杀': [['操', '丑']]}"
操使张辽、关羽先登击之。羽望见良麾盖，戎车，大将所乘者，设幢麾，张盖。策马刺良于万众之中，刺，七亦翻。,"{'人物': ['操', '张辽', '关羽', '羽', '良', '良']}","{'杀': [['羽', '良']], '派遣': [['操', '张辽'], ['操', '关羽']]}","{'人物': ['操', '张辽', '关羽', '良', '羽']}","{'派遣': [['操', '张辽'], ['操', '关羽']], '见面': [['羽', '良']], '其他': [['策', '良']]}"
谭求益兵，审配等又议不与。谭怒，杀逢纪。,"{'人物': ['谭', '审配', '谭', '逢纪']}","{'杀': [['谭', '逢纪']], '其他': [['审配', '谭']]}","{'人物': ['谭', '审配', '逢纪']}","{'请求': [['谭', '审配']], '杀': [['谭', '逢纪']]}"
雍子纳其女于叔鱼，叔鱼蔽罪于邢侯。邢侯怒，杀叔鱼及雍子于朝。,"{'人物': ['雍子', '叔鱼', '叔鱼', '邢侯', '邢侯', '叔鱼', '雍子']}","{'杀': [['邢侯', '叔鱼'], ['邢侯', '雍子']], '请求': [['雍子', '叔鱼']], '其他': [['叔鱼', '邢侯']]}","{'人物': ['雍子', '叔鱼', '邢侯']}","{'纳': [['雍子', '叔鱼']], '蔽罪': [['叔鱼', '邢侯']], '杀': [['邢侯', '叔鱼'], ['邢侯', '雍子']]}"
壬寅，赵范﹑赵葵等诛李全于新塘，诏各进两秩，馀推恩有差。,"{'时间': ['壬寅'], '人物': ['赵范', '赵葵', '李全'], '地点': ['新塘']}","{'杀': [['赵葵', '李全'], ['赵范', '李全']], '合作': [['赵范', '赵葵']], '位于': [['李全', '新塘'], ['赵葵', '新塘'], ['赵范', '新塘']]}","{'人物': ['赵范', '赵葵', '李全'], '时间': ['壬寅'], '地点': ['新塘']}","{'杀': [['赵葵', '李全'], ['赵范', '李全']]}"
」及楚杀得臣，然后喜可知也。,"{'团体': ['楚'], '人物': ['得臣']}","{'杀': [['楚', '得臣']]}","{'人物': ['得臣'], '团体': ['楚']}","{'杀': [['楚', '得臣']]}"
孙炎云：樻，肿节，可以作杖。陆玑疏云：节中肿，以扶老；今人以为马鞭及杖，弘农共北山甚有之。,"{'人物': ['孙炎', '陆玑'], '书籍': ['疏'], '地点': ['弘农', '共北山']}","{'属地': [['共北山', '弘农']], '作者': [['陆玑', '疏']]}","{'人物': ['孙炎', '陆玑'], '地点': ['弘农', '北山'], '书籍': ['疏']}","{'作者': [['陆玑', '疏']]}"
洪氏隶释曰：济水迳须句城西，水西有安民山。赵明诚金石录曰：按地里志，须句城，卽今中都县。,"{'人物': ['洪氏', '赵明诚'], '书籍': ['隶释', '金石录', '地里志'], '地点': ['济水', '须句城', '安民山', '须句城', '中都县']}","{'作者': [['赵明诚', '金石录'], ['洪氏', '隶释']], '地点别名': [['须句城', '中都县']]}","{'人物': ['洪氏', '赵明诚'], '地点': ['安民山', '中都县', '须句城', '济水'], '书籍': ['隶释', '地里志', '金石录']}","{'作者': [['赵明诚', '金石录'], ['洪氏', '隶释']], '地点别名': [['须句城', '中都县']]}"
贤曰：大谷口，在故嵩阳西北八十五里，北出对雒阳故城，张衡东京赋云「盟津达其后，大谷通其前」是也。,"{'人物': ['贤', '张衡'], '地点': ['大谷口', '嵩阳', '雒阳', '盟津', '大谷'], '书籍': ['东京赋']}","{'作者': [['张衡', '东京赋']]}","{'地点': ['大谷口', '嵩阳', '雒阳', '盟津', '大谷'], '人物': ['贤', '张衡'], '书籍': ['东京赋']}","{'位于': [['大谷口', '嵩阳']], '属地': [['大谷口', '雒阳']], '作者': [['张衡', '东京赋']]}"
」范书彧传曰：「操馈之食，发视，乃空器也，于是飮药而卒。,"{'人物': ['范', '操'], '书籍': ['书', '彧传']}","{'作者': [['范', '书']]}","{'人物': ['操', '范'], '书籍': ['书', '彧传']}","{'作者': [['范', '书彧传']]}"
考异曰：袁纪作「癸酉」,"{'书籍': ['考异', '纪'], '人物': ['袁'], '时间': ['癸酉']}","{'作者': [['袁', '纪']]}","{'人物': ['袁'], '书籍': ['考异', '纪'], '时间': ['癸酉']}","{'作者': [['袁', '纪']]}"
陈志、袁纪误也。范书云：「魏遣使求玺绶，曹皇后不与，如此数辈，后乃呼使者，以玺抵轩下，因涕泣横流曰：『天不祚尔！』左右皆莫能仰视。,"{'人物': ['陈', '袁', '范', '曹皇后'], '书籍': ['志', '纪', '书'], '地点': ['魏']}","{'作者': [['范', '书'], ['陈', '志'], ['袁', '纪']]}","{'人物': ['曹皇后', '袁', '范', '陈'], '书籍': ['纪', '书', '志'], '地点': ['魏']}","{'作者': [['范', '书'], ['袁', '纪']]}"
飞定巴西、德阳。谯周巴记：建安六年，刘璋分巴郡垫江以上为巴西。,"{'人物': ['飞', '谯周', '刘璋'], '地点': ['巴西', '德阳', '巴郡', '垫江', '巴西'], '书籍': ['巴记'], '时间': ['建安六年']}","{'作者': [['谯周', '巴记']], '攻伐': [['飞', '巴西'], ['飞', '德阳']]}","{'地点': ['巴西', '德阳', '巴郡', '垫江'], '时间': ['建安六年'], '人物': ['谯周', '飞', '刘璋'], '书籍': ['巴记']}","{'设置': [['刘璋', '巴西']], '属地': [['垫江', '巴郡']], '作者': [['谯周', '巴记']]}"
百官志：尙书侍郞三十六人，四百石；一曹六人，主作文书起草。蔡质汉仪曰：尙书郞，初从三署诣台试，初上台，称守尙书郞中；岁满，称尙书郞；三年，称侍郞。,"{'书籍': ['百官志', '汉仪'], '人物': ['蔡质'], '时间': ['三年']}","{'作者': [['蔡质', '汉仪']]}","{'时间': ['三年'], '人物': ['蔡质'], '书籍': ['汉仪', '百官志'], '职官': ['侍郞', '尙书郞', '守尙书郞中', '尙书侍郞']}","{'作者': [['蔡质', '汉仪']]}"
又考三国志三少帝纪作「郭脩」，蜀志张嶷传亦作「郭脩」，裴松之注亦云：脩，字孝先。,"{'书籍': ['三国志', '三少帝纪', '蜀志', '张嶷传', '注'], '人物': ['郭脩', '郭脩', '裴松之', '脩', '孝先']}","{'作者': [['裴松之', '注']], '别名': [['脩', '孝先']]}","{'人物': ['孝先', '脩', '郭脩', '裴松之'], '书籍': ['注', '蜀志', '张嶷传', '三国志', '三少帝纪']}","{'别名': [['脩', '孝先'], ['孝先', '脩']], '作者': [['裴松之', '注']]}"
考异曰：魏志云十日，今从范书。,"{'书籍': ['考异', '魏志', '书'], '时间': ['十日'], '人物': ['范']}","{'作者': [['范', '书']]}","{'人物': ['范'], '书籍': ['魏志', '考异', '书'], '时间': ['十日']}","{'作者': [['范', '书']]}"
于是分巴郡，以胡为巴东太守，濩为巴西太守，约为巴郡太守，皆封列侯。后三人皆为刘备所破。,"{'地点': ['巴郡', '巴东', '巴西', '巴郡'], '人物': ['胡', '濩', '约', '刘备'], '职官': ['太守', '太守', '太守', '列侯']}","{'任职': [['濩', '列侯'], ['约', '太守'], ['濩', '太守'], ['胡', '列侯'], ['胡', '太守'], ['约', '列侯']], '管理': [['胡', '巴东'], ['约', '巴郡'], ['濩', '巴西']], '打败': [['刘备', '约'], ['刘备', '胡'], ['刘备', '濩']]}","{'人物': ['胡', '濩', '约', '刘备'], '地点': ['巴郡', '巴东', '巴西'], '职官': ['列侯', '太守']}","{'任职': [['约', '太守'], ['约', '列侯'], ['胡', '太守'], ['濩', '太守'], ['濩', '列侯']], '管理': [['约', '巴郡'], ['胡', '巴东'], ['濩', '巴西']], '打败': [['刘备', '胡'], ['刘备', '濩'], ['刘备', '约']]}"
会馥将麴义叛，姓谱：汉有平原鞠谭，其子閟避难，改曰麴氏，后遂为西平著姓。馥与战而败，绍因与义相结。,"{'人物': ['馥', '麴义', '鞠谭', '閟', '麴', '馥', '绍', '义'], '书籍': ['姓谱'], '地点': ['汉', '平原', '西平']}","{'生于地点': [['鞠谭', '平原']], '父': [['鞠谭', '閟']], '打败': [['麴义', '馥']], '隶属于': [['鞠谭', '汉']], '同僚': [['馥', '麴义']], '政治奥援': [['绍', '义']]}","{'人物': ['绍', '馥', '麴义', '义', '鞠谭', '閟', '麴氏'], '书籍': ['姓谱'], '地点': ['平原', '汉', '西平']}","{'政治奥援': [['绍', '义']], '生于地点': [['鞠谭', '平原'], ['鞠谭', '汉']], '父': [['鞠谭', '閟']], '同僚': [['馥', '麴义']]}"
备遣其将陈式等绝马鸣阁道，马鸣阁，在今利州昭化县。徐晃击破之。,"{'人物': ['备', '陈式', '徐晃'], '地点': ['马鸣阁', '马鸣阁', '利州', '昭化县']}","{'属地': [['马鸣阁', '昭化县'], ['马鸣阁', '利州'], ['昭化县', '利州']], '打败': [['徐晃', '陈式']], '派遣': [['备', '陈式']]}","{'人物': ['备', '陈式', '徐晃'], '地点': ['马鸣阁', '昭化县', '利州']}","{'派遣': [['备', '陈式']], '打败': [['徐晃', '陈式']], '属地': [['昭化县', '利州']]}"
船军，卽舟师也。策复就攻勳，复，扶又翻；下同。,"{'人物': ['策', '勳']}","{'打败': [['策', '勳']]}","{'人物': ['勳', '策'], '时间': [], '地点': [], '职官': [], '书籍': [], '团体': []}","{'任职': [], '到达': [], '属地': [], '攻伐': [['策', '勳']], '管理': [], '位于': [], '派遣': [], '生于地点': [], '政治奥援': [], '封': [], '父': [], '交谈': [], '杀': [], '作者': [], '打败': [], '别名': [], '同僚': [], '地点别名': [], '兄弟': [], '旧属': [], '见面': [], '设置': [], '投靠': [], '祖孙': [], '隶属于': [], '合作': [], '离开': [], '请求': [], '游历': [], '归附': [], '救援': [], '治所': [], '修建': [], '死于时间': [], '母': [], '害怕': [], '夫妻': [], '旧臣': [], '死于地点': []}"
」诸葛恪，字元逊；顾谭，字子嘿；谢景，字叔发；范愼，字孝敬。,"{'人物': ['诸葛恪', '元逊', '顾谭', '子嘿', '谢景', '叔发', '范愼', '孝敬']}","{'别名': [['诸葛恪', '元逊'], ['范愼', '孝敬'], ['谢景', '叔发'], ['顾谭', '子嘿']]}","{'人物': ['谢景', '范愼', '叔发', '顾谭', '元逊', '孝敬', '子嘿', '诸葛恪']}","{'别名': [['顾谭', '子嘿'], ['范愼', '孝敬'], ['诸葛恪', '元逊'], ['谢景', '叔发'], ['叔发', '谢景']]}"
夏侯玄，字泰初。司马师，字子元。,"{'人物': ['夏侯玄', '泰初', '司马师', '子元']}","{'别名': [['子元', '司马师'], ['夏侯玄', '泰初']]}","{'人物': ['夏侯玄', '泰初', '子元', '司马师']}","{'别名': [['司马师', '子元']]}"
蒙得书，祕之，夜，召诸将授以方略；晨，当攻零陵，顾谓郝普故人南阳邓玄之曰：「郝子太闻世间有忠义事，亦欲为之，而不知时也。郝普，字子太。,"{'人物': ['蒙', '郝普', '邓玄之', '郝子太', '郝普', '子太'], '地点': ['零陵', '南阳']}","{'别名': [['郝普', '子太']]}","{'人物': ['蒙', '郝普', '子太', '邓玄之', '郝子太', '顾'], '地点': ['零陵', '南阳']}","{'别名': [['郝普', '子太'], ['子太', '郝普']], '政治奥援': [['郝普', '邓玄之'], ['顾', '邓玄之']], '生于地点': [['邓玄之', '南阳'], ['郝普', '南阳']], '交谈': [['顾', '郝普']]}"
权举酒属宁曰：「兴霸，甘宁，字兴霸。,"{'人物': ['权', '宁', '兴霸', '甘宁', '兴霸']}","{'别名': [['甘宁', '兴霸']], '交谈': [['权', '宁']]}","{'人物': [['甘宁', 0.9999], ['权', 0.9999], ['兴霸', 0.9998], ['宁', 0.9998], ['兴霸', 0.9996]]}","{'别名': [['甘宁', '兴霸']]}"
帝谓权曰：「君舍逆效顺，欲追踪陈、韩邪？」陈、韩谓韩信、陈平去楚归汉。,"{'人物': ['帝', '权', '陈', '韩', '陈', '韩', '韩信', '陈平'], '地点': ['楚', '汉']}","{'别名': [['陈', '陈平'], ['韩', '韩信']], '离开': [['韩信', '楚'], ['陈平', '楚']], '归附': [['陈平', '汉'], ['韩信', '汉']], '交谈': [['帝', '权']]}","{'人物': ['帝', '权', '陈平', '韩信', '陈', '韩'], '地点': ['汉', '楚']}","{'到达': [['陈平', '汉']]}"
权呼其字与语，潘濬字承明。,"{'人物': ['权', '潘濬', '承明']}","{'别名': [['潘濬', '承明']]}","{'人物': ['权', '潘濬', '承明']}","{'别名': [['潘濬', '承明'], ['承明', '潘濬']]}"
时操使宫将兵留屯东郡，遂以其众潜迎布为兖州牧。布至，邈乃使其党刘翊吿荀彧曰：「吕将军来助曹使君击陶谦，宜亟供其军食。,"{'人物': ['操', '宫', '布', '布', '邈', '刘翊', '荀彧', '吕将军', '曹使君', '陶谦'], '地点': ['东郡', '兖州'], '职官': ['牧']}","{'派遣': [['邈', '刘翊'], ['操', '宫']], '位于': [['宫', '东郡']], '任职': [['布', '牧']], '管理': [['布', '兖州']], '封': [['操', '布']], '交谈': [['刘翊', '荀彧']], '救援': [['吕将军', '曹使君']], '攻伐': [['曹使君', '陶谦'], ['吕将军', '陶谦']]}","{'人物': ['荀彧', '布', '刘翊', '操', '邈', '宫', '陶谦', '吕将军', '曹使君', '曹'], '地点': ['兖州', '东郡'], '职官': ['牧']}",{'关系': []}
布至，邈乃使其党刘翊吿荀彧曰：「吕将军来助曹使君击陶谦，宜亟供其军食。」众疑惑，彧知邈为乱，卽勒兵设备，急召东郡太守夏侯惇于濮阳；惇来，布遂据濮阳。濮，博木翻。时操悉军攻陶谦，留守兵少，少，诗沼翻。,"{'人物': ['布', '邈', '刘翊', '荀彧', '吕将军', '曹使君', '陶谦', '彧', '邈', '夏侯惇', '惇', '布', '操', '陶谦'], '地点': ['东郡', '濮阳', '濮阳'], '职官': ['太守']}","{'任职': [['夏侯惇', '太守']], '攻伐': [['布', '濮阳'], ['曹使君', '陶谦'], ['吕将军', '陶谦'], ['操', '陶谦']], '管理': [['夏侯惇', '东郡']], '位于': [['夏侯惇', '濮阳'], ['彧', '濮阳']], '见面': [['彧', '夏侯惇']], '派遣': [['邈', '刘翊']], '交谈': [['刘翊', '荀彧']], '救援': [['吕将军', '曹使君']]}","{'人物': ['操', '彧', '惇', '布', '邈', '荀彧', '刘翊', '陶谦', '夏侯惇', '吕将军'], '地点': ['濮阳', '东郡'], '职官': ['太守']}","{'攻伐': [['操', '陶谦'], ['布', '濮阳']], '管理': [['夏侯惇', '东郡']], '派遣': [['邈', '刘翊']], '任职': [['夏侯惇', '太守']], '其他': [['吕将军', '曹']]}"
